cell,variant,mix,load,seed,num_devices,slots,gap_median_s,goodput_per_gpu_hour,served_value_fraction,reserved_idle_fraction,abandonments
A_original,A5_k0.15,0.5,1.0,3,4,16,,22503.0,0.741531,0.964793,45
A_original,A5_k0.30,0.1,1.0,1,4,16,,26961.67,0.619106,0.934799,57
A_original,A5_k0.30,0.1,1.0,2,4,16,,22574.67,0.760773,0.940509,68
A_original,A5_k0.30,0.1,1.0,3,4,16,,22564.5,0.76228,0.94618,58
A_original,A5_k0.30,0.3,1.0,1,4,16,,24585.5,0.559609,0.94236,36
A_original,A5_k0.30,0.3,1.0,2,4,16,,22394.83,0.74829,0.948793,48
A_original,A5_k0.30,0.3,1.0,3,4,16,,22315.0,0.747254,0.951022,46
A_original,A5_k0.30,0.5,1.0,1,4,16,,23089.5,0.518229,0.962849,20
A_original,A5_k0.30,0.5,1.0,2,4,16,,22393.83,0.736607,0.95663,41
A_original,A5_k0.30,0.5,1.0,3,4,16,,22391.0,0.737841,0.95013,25
A_original,full,0.1,1.0,1,4,16,,28433.67,0.652907,0.933015,64
A_original,full,0.1,1.0,2,4,16,,22945.17,0.773259,0.920509,81
A_original,full,0.1,1.0,3,4,16,,22941.5,0.775016,0.972805,66
A_original,full,0.3,1.0,1,4,16,,27051.33,0.615736,0.918373,59
A_original,full,0.3,1.0,2,4,16,,22834.83,0.762992,0.945214,74
A_original,full,0.3,1.0,3,4,16,,22722.83,0.760911,0.958737,69
A_original,full,0.5,1.0,1,4,16,,25561.83,0.573718,0.977549,52
A_original,full,0.5,1.0,2,4,16,,22622.17,0.744118,0.955957,63
A_original,full,0.5,1.0,3,4,16,,22653.17,0.74648,0.944989,59
B_contended,A1_no_budget,0.1,1.3,1,4,64,20.0,49414.17,0.880258,0.896218,0
B_contended,A1_no_budget,0.1,1.3,2,4,64,20.0,38492.67,0.997409,0.874929,0
B_contended,A1_no_budget,0.1,1.3,3,4,64,20.0,38307.33,0.998384,0.88687,0
B_contended,A1_no_budget,0.3,1.3,1,4,64,20.0,49482.83,0.873782,0.903442,0
B_contended,A1_no_budget,0.3,1.3,2,4,64,20.0,38557.33,0.991038,0.869366,0
B_contended,A1_no_budget,0.3,1.3,3,4,64,20.0,38331.17,0.990469,0.937938,0
B_contended,A1_no_budget,0.5,1.3,1,4,64,20.0,47456.83,0.826256,0.942772,0
B_contended,A1_no_budget,0.5,1.3,2,4,64,20.0,34785.83,0.880253,0.912441,0
B_contended,A1_no_budget,0.5,1.3,3,4,64,20.0,35576.0,0.904413,0.945271,0
B_contended,A2_preemptible,0.1,1.3,1,4,64,20.0,49337.17,0.878886,0.894775,136
B_contended,A2_preemptible,0.1,1.3,2,4,64,20.0,38411.33,0.995301,0.875218,127
B_contended,A2_preemptible,0.1,1.3,3,4,64,20.0,38231.33,0.996403,0.88997,122
B_contended,A2_preemptible,0.3,1.3,1,4,64,20.0,49409.17,0.872481,0.907154,125
B_contended,A2_preemptible,0.3,1.3,2,4,64,20.0,38487.33,0.989239,0.87266,116
B_contended,A2_preemptible,0.3,1.3,3,4,64,20.0,38257.33,0.988562,0.926758,115
B_contended,A2_preemptible,0.5,1.3,1,4,64,20.0,47383.5,0.824979,0.94602,109
B_contended,A2_preemptible,0.5,1.3,2,4,64,20.0,34728.33,0.878798,0.924239,125
B_contended,A2_preemptible,0.5,1.3,3,4,64,20.0,36092.83,0.917552,0.937842,120
B_contended,A3_queue_depth,0.1,1.3,1,4,64,20.0,50093.17,0.892354,0.894724,144
B_contended,A3_queue_depth,0.1,1.3,2,4,64,20.0,38411.33,0.995301,0.875218,127
B_contended,A3_queue_depth,0.1,1.3,3,4,64,20.0,38231.33,0.996403,0.88997,122
B_contended,A3_queue_depth,0.3,1.3,1,4,64,20.0,49897.67,0.881107,0.906857,128
B_contended,A3_queue_depth,0.3,1.3,2,4,64,20.0,38487.33,0.989239,0.87266,116
B_contended,A3_queue_depth,0.3,1.3,3,4,64,20.0,38255.33,0.98851,0.926714,115
B_contended,A3_queue_depth,0.5,1.3,1,4,64,20.0,49711.0,0.865502,0.918542,128
B_contended,A3_queue_depth,0.5,1.3,2,4,64,20.0,38637.33,0.977715,0.891295,126
B_contended,A3_queue_depth,0.5,1.3,3,4,64,20.0,38474.67,0.978103,0.906123,122
B_contended,A4_strict,0.1,1.3,1,4,64,20.0,49341.0,0.878955,0.90139,134
B_contended,A4_strict,0.1,1.3,2,4,64,20.0,38408.0,0.995215,0.89204,127
B_contended,A4_strict,0.1,1.3,3,4,64,20.0,38236.0,0.996525,0.905182,122
B_contended,A4_strict,0.3,1.3,1,4,64,20.0,48955.5,0.86447,0.913464,119
B_contended,A4_strict,0.3,1.3,2,4,64,20.0,38402.5,0.987059,0.910238,116
B_contended,A4_strict,0.3,1.3,3,4,64,20.0,38030.33,0.982696,0.935932,115
B_contended,A4_strict,0.5,1.3,1,4,64,20.0,47383.5,0.824979,0.94602,109
B_contended,A4_strict,0.5,1.3,2,4,64,20.0,34728.33,0.878798,0.924239,125
B_contended,A4_strict,0.5,1.3,3,4,64,20.0,36092.83,0.917552,0.937842,120
B_contended,A4_tiered,0.1,1.3,1,4,64,20.0,49337.17,0.878886,0.894775,136
B_contended,A4_tiered,0.1,1.3,2,4,64,20.0,38411.33,0.995301,0.875218,127
B_contended,A4_tiered,0.1,1.3,3,4,64,20.0,38231.33,0.996403,0.88997,122
B_contended,A4_tiered,0.3,1.3,1,4,64,20.0,49409.17,0.872481,0.907154,125
B_contended,A4_tiered,0.3,1.3,2,4,64,20.0,38487.33,0.989239,0.87266,116
B_contended,A4_tiered,0.3,1.3,3,4,64,20.0,38257.33,0.988562,0.926758,115
B_contended,A4_tiered,0.5,1.3,1,4,64,20.0,49322.0,0.85873,0.907632,118
B_contended,A4_tiered,0.5,1.3,2,4,64,20.0,38420.67,0.972232,0.901154,125
B_contended,A4_tiered,0.5,1.3,3,4,64,20.0,38340.5,0.974692,0.901216,121
B_contended,A5_k0.01,0.1,1.3,1,4,64,20.0,49343.33,0.878996,0.858501,136
B_contended,A5_k0.01,0.1,1.3,2,4,64,20.0,38414.67,0.995388,0.863081,127
B_contended,A5_k0.01,0.1,1.3,3,4,64,20.0,38230.0,0.996369,0.812545,122
B_contended,A5_k0.01,0.3,1.3,1,4,64,20.0,49406.83,0.87244,0.835237,121
B_contended,A5_k0.01,0.3,1.3,2,4,64,20.0,38488.0,0.989256,0.917664,115
B_contended,A5_k0.01,0.3,1.3,3,4,64,20.0,38258.0,0.988579,0.918946,115
B_contended,A5_k0.01,0.5,1.3,1,4,64,20.0,49168.17,0.856051,0.971275,118
B_contended,A5_k0.01,0.5,1.3,2,4,64,20.0,37935.0,0.959942,0.91586,125
B_contended,A5_k0.01,0.5,1.3,3,4,64,20.0,37783.17,0.960524,0.880332,121
B_contended,A5_k0.15,0.1,1.3,1,4,64,20.0,49341.5,0.878964,0.903156,137
B_contended,A5_k0.15,0.1,1.3,2,4,64,20.0,38414.67,0.995388,0.897896,127
B_contended,A5_k0.15,0.1,1.3,3,4,64,20.0,38234.0,0.996473,0.900722,122
B_contended,A5_k0.15,0.3,1.3,1,4,64,20.0,49399.33,0.872307,0.922094,123
B_contended,A5_k0.15,0.3,1.3,2,4,64,20.0,38485.67,0.989196,0.901756,116
B_contended,A5_k0.15,0.3,1.3,3,4,64,20.0,38244.17,0.988221,0.930121,115
B_contended,A5_k0.15,0.5,1.3,1,4,64,20.0,20984.0,0.365346,0.953395,36
B_contended,A5_k0.15,0.5,1.3,2,4,64,20.0,29566.5,0.748178,0.946951,103
B_contended,A5_k0.15,0.5,1.3,3,4,64,20.0,29453.17,0.748759,0.953964,105
B_contended,A5_k0.30,0.1,1.3,1,4,64,20.0,49341.5,0.878964,0.903156,137
B_contended,A5_k0.30,0.1,1.3,2,4,64,20.0,38415.33,0.995405,0.897522,127
B_contended,A5_k0.30,0.1,1.3,3,4,64,20.0,38233.33,0.996456,0.901483,121
B_contended,A5_k0.30,0.3,1.3,1,4,64,20.0,49407.0,0.872442,0.921643,125
B_contended,A5_k0.30,0.3,1.3,2,4,64,20.0,38478.17,0.989003,0.900876,116
B_contended,A5_k0.30,0.3,1.3,3,4,64,20.0,38202.0,0.987132,0.93245,115
B_contended,A5_k0.30,0.5,1.3,1,4,64,20.0,21005.0,0.365711,0.953551,36
B_contended,A5_k0.30,0.5,1.3,2,4,64,20.0,29575.0,0.748393,0.951255,106
B_contended,A5_k0.30,0.5,1.3,3,4,64,20.0,29437.67,0.748365,0.952222,90
B_contended,full,0.1,1.3,1,4,64,20.0,49337.17,0.878886,0.894775,136
B_contended,full,0.1,1.3,2,4,64,20.0,38411.33,0.995301,0.875218,127
B_contended,full,0.1,1.3,3,4,64,20.0,38231.33,0.996403,0.88997,122
B_contended,full,0.3,1.3,1,4,64,20.0,49409.17,0.872481,0.907154,125
B_contended,full,0.3,1.3,2,4,64,20.0,38487.33,0.989239,0.87266,116
B_contended,full,0.3,1.3,3,4,64,20.0,38257.33,0.988562,0.926758,115
B_contended,full,0.5,1.3,1,4,64,20.0,47383.5,0.824979,0.94602,109
B_contended,full,0.5,1.3,2,4,64,20.0,34728.33,0.878798,0.924239,125
B_contended,full,0.5,1.3,3,4,64,20.0,36092.83,0.917552,0.937842,120
